Image,Size_KB,Kaggle_Path
ablation_feature_groups.png,51.94,/kaggle/working/autospectra_week07_outputs/plots/ablation_feature_groups.png
autoencoder_confusion_matrix.png,59.66,/kaggle/working/autospectra_week07_outputs/plots/autoencoder_confusion_matrix.png
autoencoder_score_distribution.png,82.25,/kaggle/working/autospectra_week07_outputs/plots/autoencoder_score_distribution.png
comparison_detection_latency.png,55.44,/kaggle/working/autospectra_week07_outputs/plots/comparison_detection_latency.png
comparison_fpr_fnr.png,89.26,/kaggle/working/autospectra_week07_outputs/plots/comparison_fpr_fnr.png
comparison_macro_f1.png,73.24,/kaggle/working/autospectra_week07_outputs/plots/comparison_macro_f1.png
comparison_per_class_f1.png,59.93,/kaggle/working/autospectra_week07_outputs/plots/comparison_per_class_f1.png
comparison_performance_latency.png,94.05,/kaggle/working/autospectra_week07_outputs/plots/comparison_performance_latency.png
metrics_calibration_calibrated_rf_plus_cnn_plus_lstm_fusion.png,97.7,/kaggle/working/autospectra_week07_outputs/plots/metrics_calibration_calibrated_rf_plus_cnn_plus_lstm_fusion.png
metrics_calibration_lstm_classifier.png,97.03,/kaggle/working/autospectra_week07_outputs/plots/metrics_calibration_lstm_classifier.png
metrics_calibration_random_forest.png,90.39,/kaggle/working/autospectra_week07_outputs/plots/metrics_calibration_random_forest.png
metrics_calibration_recurrence_cnn.png,92.84,/kaggle/working/autospectra_week07_outputs/plots/metrics_calibration_recurrence_cnn.png
metrics_calibration_rf_plus_cnn_plus_lstm_fusion.png,92.88,/kaggle/working/autospectra_week07_outputs/plots/metrics_calibration_rf_plus_cnn_plus_lstm_fusion.png
metrics_calibration_xgboost.png,98.82,/kaggle/working/autospectra_week07_outputs/plots/metrics_calibration_xgboost.png
metrics_confusion_calibrated_rf_plus_cnn_plus_lstm_fusion.png,94.34,/kaggle/working/autospectra_week07_outputs/plots/metrics_confusion_calibrated_rf_plus_cnn_plus_lstm_fusion.png
metrics_confusion_extra_trees.png,90.03,/kaggle/working/autospectra_week07_outputs/plots/metrics_confusion_extra_trees.png
metrics_confusion_logistic_regression.png,92.88,/kaggle/working/autospectra_week07_outputs/plots/metrics_confusion_logistic_regression.png
metrics_confusion_lstm_classifier.png,90.66,/kaggle/working/autospectra_week07_outputs/plots/metrics_confusion_lstm_classifier.png
metrics_confusion_random_forest.png,90.63,/kaggle/working/autospectra_week07_outputs/plots/metrics_confusion_random_forest.png
metrics_confusion_recurrence_cnn.png,90.74,/kaggle/working/autospectra_week07_outputs/plots/metrics_confusion_recurrence_cnn.png
metrics_confusion_rf_plus_cnn_plus_lstm_fusion.png,92.22,/kaggle/working/autospectra_week07_outputs/plots/metrics_confusion_rf_plus_cnn_plus_lstm_fusion.png
metrics_confusion_xgboost.png,90.47,/kaggle/working/autospectra_week07_outputs/plots/metrics_confusion_xgboost.png
metrics_pr_calibrated_rf_plus_cnn_plus_lstm_fusion.png,85.28,/kaggle/working/autospectra_week07_outputs/plots/metrics_pr_calibrated_rf_plus_cnn_plus_lstm_fusion.png
metrics_pr_lstm_classifier.png,84.23,/kaggle/working/autospectra_week07_outputs/plots/metrics_pr_lstm_classifier.png
metrics_pr_random_forest.png,86.91,/kaggle/working/autospectra_week07_outputs/plots/metrics_pr_random_forest.png
metrics_pr_recurrence_cnn.png,90.77,/kaggle/working/autospectra_week07_outputs/plots/metrics_pr_recurrence_cnn.png
metrics_pr_rf_plus_cnn_plus_lstm_fusion.png,82.46,/kaggle/working/autospectra_week07_outputs/plots/metrics_pr_rf_plus_cnn_plus_lstm_fusion.png
metrics_pr_xgboost.png,81.49,/kaggle/working/autospectra_week07_outputs/plots/metrics_pr_xgboost.png
metrics_roc_calibrated_rf_plus_cnn_plus_lstm_fusion.png,114.43,/kaggle/working/autospectra_week07_outputs/plots/metrics_roc_calibrated_rf_plus_cnn_plus_lstm_fusion.png
metrics_roc_lstm_classifier.png,111.85,/kaggle/working/autospectra_week07_outputs/plots/metrics_roc_lstm_classifier.png
metrics_roc_random_forest.png,113.9,/kaggle/working/autospectra_week07_outputs/plots/metrics_roc_random_forest.png
metrics_roc_recurrence_cnn.png,114.88,/kaggle/working/autospectra_week07_outputs/plots/metrics_roc_recurrence_cnn.png
metrics_roc_rf_plus_cnn_plus_lstm_fusion.png,110.39,/kaggle/working/autospectra_week07_outputs/plots/metrics_roc_rf_plus_cnn_plus_lstm_fusion.png
metrics_roc_xgboost.png,110.1,/kaggle/working/autospectra_week07_outputs/plots/metrics_roc_xgboost.png
model_random_forest_feature_importance.png,104.73,/kaggle/working/autospectra_week07_outputs/plots/model_random_forest_feature_importance.png
training_lstm_autoencoder.png,69.0,/kaggle/working/autospectra_week07_outputs/plots/training_lstm_autoencoder.png
training_lstm_classifier.png,105.77,/kaggle/working/autospectra_week07_outputs/plots/training_lstm_classifier.png
training_recurrence_cnn.png,86.47,/kaggle/working/autospectra_week07_outputs/plots/training_recurrence_cnn.png
week07_ablation_fpr_fnr.png,61.23,/kaggle/working/autospectra_week07_outputs/plots/week07_ablation_fpr_fnr.png
week07_fusion_ece_comparison.png,83.38,/kaggle/working/autospectra_week07_outputs/plots/week07_fusion_ece_comparison.png
week07_fusion_weights.png,77.75,/kaggle/working/autospectra_week07_outputs/plots/week07_fusion_weights.png
week07_performance_model_size.png,97.51,/kaggle/working/autospectra_week07_outputs/plots/week07_performance_model_size.png
week07_temperature_search.png,76.02,/kaggle/working/autospectra_week07_outputs/plots/week07_temperature_search.png
